,x,,,
82,@bigmacnfries62 @4YrsToday You know what #Trump think about you. He thinks REPUBLICANS are stupid.,,,
83,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
84,"I never thought Biden would be this strong . 
#WVU 
#Biden2020 v #Trump ",,,
85,@CharlesPPierce @AdamPosen #Mnuchin treats #Congress with the same disdain as his boss #Trump.,,,
86,#Trump grants pardon to man who #killed Iraqi prisoner - May 6 @ 9:34 PM ET  ,,,
87,"RT @Pinlovescake: ""I know nothing about WikiLeaks. It's not my thing."" #trump #WikiLeaks ",,,
88,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
89,RT @digitaljournal: US Treasury will not hand over #Trump #TaxReturns to Congress: official ,,,
90,@stonecold2050 Whatever happened to the youngest Trump child?  Is he still in New York City?  #trump,,,
91,Hundreds of former prosecutors say #Trump would have been indicted if he were not presiden - May 6 @ 9:32 PM ET  ,,,
92,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
93,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
94,@RawStory @morgfair Can Phil name one thing #Trump has done to benefit real Christians?,,,
95,@Trump454545 Controlled by the people:WOW #USA #Trump,,,
96,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
97,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
98,RT @RT_com: #TigerWoods got the Medal of Freedom from #Trump and a lot of hate from Trump critics ,,,
99,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
100,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
101,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
102,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
103,"#Trump says he spoke to #Abe about #NorthKorea

",,,
104,Intel: Navy downplays #Iran hawks' messaging on latest deployment ,,,
105,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
106,"Hey @TigerWoods are totally embarrassed by #Trump?
You should be.",,,
107,"RT @norrthpier: @The_UnSilent_ @CNN Hence, @CNN's unwavering support for #Trump and hiring his race-baiting buds as commentators.",,,
108,US Treasury will not hand over #Trump #TaxReturns to Congress: official ,,,
109,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
110,"RT @Tombx7M: Alway remember..
#Tucker #Hannity #Tcot #Ccot #Qanon #MAGA  #KAG #Trump #WWG1WGA ",,,
111,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
112,"@The_UnSilent_ @CNN Hence, @CNN's unwavering support for #Trump and hiring his race-baiting buds as commentators.",,,
113,RT @shanman367: Happy CincodeMayo! #CincoDeMayo2019 #Trump #trump2020 #IllegalImmigration ,,,
114,"Alway remember..
#Tucker #Hannity #Tcot #Ccot #Qanon #MAGA  #KAG #Trump #WWG1WGA ",,,
115,"RT @Tombx7M: Coming soon
#Tucker #Hannity #Tcot #Ccot #Qanon #MAGA  #KAG #Trump #WWG1WGA ",,,
116,@essenviews #Trump #obstructionist thinks he is above the law.,,,
117,RT @tomleykis: Key word: REALITY. #TrumpsScaredOfMueller #Trump ,,,
118,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
119,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
120,"RT @Tombx7M: Can you hear me now
#Tucker #Hannity #Tcot #Ccot #Qanon #MAGA  #KAG #Trump #WWG1WGA ",,,
121,Mueller report row: House Dem chair calls vote to hold AG Barr in contempt of Congress..#Trump..#GOP,,,
122,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
123,"@TrinityResists @ManMet80 If voting was confined to those who are physically and mentally competent, would #Trump be allowed to vote?",,,
124,"RT @Tombx7M: Can you hear me now
#Tucker #Hannity #Tcot #Ccot #Qanon #MAGA  #KAG #Trump #WWG1WGA ",,,
125,"RT @Tombx7M: Can you hear me now
#Tucker #Hannity #Tcot #Ccot #Qanon #MAGA  #KAG #Trump #WWG1WGA ",,,
126,"RT @AndyOstroy: If you're absolutely disgusted, exhausted and fed up with #Trump say 'YEAH!'",,,
127,RT @GetMuellerRpt: #Trump would be in jail if he wasn't #POTUS .. Retweet ,,,
128,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
129,"Coming soon
#Tucker #Hannity #Tcot #Ccot #Qanon #MAGA  #KAG #Trump #WWG1WGA ",,,
130,@iambadal #Trump and Mitch are the #evil of our time.,,,
131,"Can you hear me now
#Tucker #Hannity #Tcot #Ccot #Qanon #MAGA  #KAG #Trump #WWG1WGA ",,,
132,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
133,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
134,@DeadlineWH @emilyjanefox @jheil Now Cohen is getting a taste of what everyone who was loyal to trump and then  betrayed by #trump feels.,,,
135,"RT @CornelWest: The President is lying...

#Trump #Charlotesville @AC360 ",,,
136,"#Trump UN nominee #KellyCraft (Wife of CEO of Biggest #Coal Producer) climate views raising concerns at Senate, U.N. ",,,
137,What would Trump guided by Sisi bring upon the US?: ,,,
138,"RT @GetMuellerRpt: #Trump would be in cuffs if he wasn't #POTUS 
",,,
139,"#Trump pardons ex-soldier convicted of killing Iraqi prisoner | TheHill

#murder #TrumpPardon #Resistance  ",,,
140,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
141,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
142,@thedailybeast @LloydGreen9 A #Trump rally ,,,
143,RT @BigTaliesin: ,,,
144,"RT @RepDeSaulnier: Nobody is above the law. If President #Trump committed obstruction, he should face the consequences. ",,,
145,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
146,"SPX potential top 2.5.2019 , check here ",,,
147,brexit reacts after last extension ,,,
148,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
149,RT @ChrisWill1337: brexit reacts after last extension ,,,
150,RT @mayawiley: #Trump avoided military service. ,,,
151,@WhiteHouse What would #trump know about any if that? He just lies &amp; cheats.,,,
152,"RT @GetMuellerRpt: #Trump would be in cuffs if he wasn't #POTUS 
",,,
153,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
154,"People on the world-Apathy #song the communists are stupid, they dont have democracy ",,,
155,"David Frost's #Nixon interview has been updated. pursuant to the new #GOP doctrine, ""But when #Trump does it, that means it is not illegal.""",,,
156,"#Trump would be in cuffs if he wasn't #POTUS 
",,,
